,id,Title,Thumbnail,Short Description,Game URL,Genre,Platform,Publisher,Developer,Release Date,FreeToGame Profile URL
21,515,Halo Infinite,https://www.freetogame.com/g/515/thumbnail.jpg,"For the first time ever, a free-to-play Halo experience is available in the form of Halo Infinite’s multiplayer.",https://www.freetogame.com/open/halo-infinite,Shooter,PC (Windows),Xbox Game Studios,343 Industries,2021-11-15,https://www.freetogame.com/halo-infinite
22,466,Valorant,https://www.freetogame.com/g/466/thumbnail.jpg,Test your mettle in Riot Games’ character-based FPS shooter Valorant.,https://www.freetogame.com/open/valorant,Shooter,PC (Windows),Riot Games,Riot Games,2020-06-02,https://www.freetogame.com/valorant
23,467,Phantasy Star Online 2,https://www.freetogame.com/g/467/thumbnail.jpg,"Welcome to ARKS, and elite task force searching dangerous planets for the corrupted Falspawn in Phantasy Star 2 Online, Sega’s popular, free-to-play sci-fi MMORPG.",https://www.freetogame.com/open/pso2,MMORPG,PC (Windows),SEGA,SEGA,2020-05-27,https://www.freetogame.com/pso2
24,452,Call of Duty: Warzone,https://www.freetogame.com/g/452/thumbnail.jpg,A standalone free-to-play battle royale and modes accessible via Call of Duty: Modern Warfare.,https://www.freetogame.com/open/call-of-duty-warzone,Shooter,PC (Windows),Activision,Infinity Ward,2020-03-10,https://www.freetogame.com/call-of-duty-warzone
25,21,Destiny 2,https://www.freetogame.com/g/21/thumbnail.jpg,A free-to-play multiplayer Sci-Fi MMOFPS from Bungie.,https://www.freetogame.com/open/destiny-2,Shooter,PC (Windows),Bungie,Bungie,2019-10-01,https://www.freetogame.com/destiny-2
26,23,Apex Legends,https://www.freetogame.com/g/23/thumbnail.jpg,A free-to-play strategic battle royale game featuring 60-player matches and team-based play. ,https://www.freetogame.com/open/apex-legends,Shooter,PC (Windows),Electronic Arts,Electronic Arts,2019-02-04,https://www.freetogame.com/apex-legends
27,57,Fortnite,https://www.freetogame.com/g/57/thumbnail.jpg,"A free-to-play, standalone mode of Epic Game's Fortnite. ",https://www.freetogame.com/open/fortnite-battle-royale,Shooter,PC (Windows),Epic Games,Epic Games,2017-09-26,https://www.freetogame.com/fortnite-battle-royale
28,6,Blade and Soul,https://www.freetogame.com/g/6/thumbnail.jpg,A free-to-play martial arts MMORPG that tasks players with learning combination attacks.,https://www.freetogame.com/open/blade-and-soul,MMORPG,PC (Windows),NCSoft,NCSoft,2016-01-19,https://www.freetogame.com/blade-and-soul
29,212,Brawlhalla,https://www.freetogame.com/g/212/thumbnail.jpg,A free-to-play 2D platform fighter inspired by the Smash Bros.,https://www.freetogame.com/open/brawlhalla,Fighting,PC (Windows),Blue Mammoth Games,Blue Mammoth Games,2015-11-03,https://www.freetogame.com/brawlhalla
30,8,Trove,https://www.freetogame.com/g/8/thumbnail.jpg,A free to play Sandbox massively multiplayer online role-playing game! ,https://www.freetogame.com/open/trove,MMORPG,PC (Windows),Trion Worlds,Trion Worlds,2015-07-09,https://www.freetogame.com/trove
31,13,Guild Wars 2,https://www.freetogame.com/g/13/thumbnail.jpg,"A free-to-play MMORPG, the follow-up to ArenaNet's popular Guild Wars. ",https://www.freetogame.com/open/guild-wars-2,MMORPG,PC (Windows),NCsoft,ArenaNet,2012-08-28,https://www.freetogame.com/guild-wars-2
32,433,RuneScape,https://www.freetogame.com/g/433/thumbnail.jpg,A popular 3D browser MMORPG boasting a huge player base and 15 years of content.,https://www.freetogame.com/open/runescape,MMORPG,"PC (Windows), Web Browser",Jagex,Jagex,2001-01-04,https://www.freetogame.com/runescape
33,339,Tibia,https://www.freetogame.com/g/339/thumbnail.jpg,"A old-school free-to-play massively multiplayer online 
role-playing game.",https://www.freetogame.com/open/tibia,MMORPG,PC (Windows),CipSoft,CipSoft,1997-01-07,https://www.freetogame.com/tibia
34,636,Arknights: Endfield,https://www.freetogame.com/g/636/thumbnail.jpg,A free-to-play RTS RPG gacha game.,https://www.freetogame.com/open/arknights-endfield,Strategy,PC (Windows),GRYPHLINE,Hypergryph,2026-01-21,https://www.freetogame.com/arknights-endfield
35,629,Wuthering Waves,https://www.freetogame.com/g/629/thumbnail.jpg,A free-to-play action RPG with gacha elements.,https://www.freetogame.com/open/wuthering-waves,RPG,PC (Windows),Kuro Games,Kuro Games,2024-05-22,https://www.freetogame.com/wuthering-waves
36,638,PUBG: BLINDSPOT,https://www.freetogame.com/g/638/thumbnail.jpg,A free-to-play 5v5 tactical shooter with a top-down view.,https://www.freetogame.com/open/pubg-blindspot,Shooter,PC (Windows),"ARC Team, PUBG Corporation","KRAFTON, Inc.",2026-02-04,https://www.freetogame.com/pubg-blindspot
37,635,Heartopia,https://www.freetogame.com/g/635/thumbnail.jpg,A free-to-play life simulation game for multiple players.,https://www.freetogame.com/open/heartopia,Social,PC (Windows),XD,XD,2026-01-16,https://www.freetogame.com/heartopia
38,631,Reign of Guilds,https://www.freetogame.com/g/631/thumbnail.jpg,An open-world MMORPG inspired by old-school games like Ultima Online and EverQuest,https://www.freetogame.com/open/reign-of-guilds,MMORPG,PC (Windows),Atlant Games Ltd,Atlant Games Ltd,2025-11-26,https://www.freetogame.com/reign-of-guilds
39,621,2XKO,https://www.freetogame.com/g/621/thumbnail.jpg,A free-to-play 2v2 fighting game set in the League of Legends universe.,https://www.freetogame.com/open/2xko,Fighting,PC (Windows),Riot Games,Riot Games,2025-10-07,https://www.freetogame.com/2xko
40,622,Blue Protocol: Star Resonance,https://www.freetogame.com/g/622/thumbnail.jpg,A free-to-play open-world anime MMORPG. ,https://www.freetogame.com/open/blue-protocol-star-resonance,MMORPG,PC (Windows),A Plus,Shanghai Bokura Networkd Technology,2025-10-09,https://www.freetogame.com/blue-protocol-star-resonance
